survived,pclass,sex,age,sibsp,parch,fare,embark_town
0,1,male,28.5,0,1,152.85,Cherbourg
1,2,female,22.1,0,0,15.61,Southampton
0,3,male,30.2,0,0,28.84,Southampton
1,3,female,67.7,0,2,29.89,Southampton
0,3,male,40.7,0,0,14.27,Southampton
1,3,male,43.7,0,2,22.73,Southampton
1,3,female,40.8,0,0,15.19,Southampton
1,3,male,49.7,0,0,8.49,Southampton
1,3,female,26.3,1,0,13.42,Southampton
0,3,male,0.5,0,0,10.83,Southampton
1,3,male,26.4,0,2,13.2,Southampton
1,3,female,40.4,0,1,10.38,Southampton
0,3,male,15.4,2,0,7.81,Southampton
1,1,male,26.5,1,0,117.0,Queenstown
1,3,female,19.3,0,0,27.64,Southampton
1,2,female,50.0,0,0,14.25,Southampton
1,3,female,39.5,0,0,13.12,Southampton
0,3,male,38.1,2,0,18.21,Southampton
1,3,male,37.7,0,0,13.86,Cherbourg
1,3,female,28.5,0,1,17.94,Cherbourg
0,2,male,31.8,3,0,48.27,Southampton
1,3,female,12.4,1,0,21.21,Southampton
0,3,male,0.5,0,0,19.09,Southampton
0,2,male,31.1,0,1,43.96,Southampton
1,1,female,33.5,0,0,103.9,Queenstown
1,1,male,45.9,0,0,130.69,Southampton
1,3,male,51.0,0,0,13.75,Southampton
1,3,male,51.0,2,1,10.66,Cherbourg
0,3,female,15.0,2,0,17.5,Southampton
0,3,female,24.1,0,0,5.65,Southampton
0,3,male,35.7,0,0,13.21,Southampton
1,2,male,64.4,0,0,30.14,Southampton
1,3,female,49.7,0,0,7.72,Cherbourg
0,1,male,44.7,1,0,222.14,Cherbourg
0,3,male,23.6,0,0,21.3,Cherbourg
1,3,male,16.6,0,0,14.94,Southampton
0,3,male,40.0,0,0,25.05,Southampton
1,3,female,13.6,0,0,28.43,Southampton
1,1,female,25.7,0,0,175.17,Queenstown
1,2,female,27.4,1,0,30.06,Southampton
0,1,male,51.3,1,0,139.12,Queenstown
1,1,male,24.0,0,0,76.24,Southampton
0,3,male,0.5,1,0,20.7,Southampton
0,3,male,36.1,0,0,20.56,Southampton
0,3,male,19.2,1,2,13.04,Southampton
1,3,male,29.6,0,0,6.59,Queenstown
0,3,male,27.8,0,0,10.25,Southampton
0,3,male,25.2,2,0,8.86,Southampton
1,1,female,40.1,0,0,245.93,Southampton
0,1,male,7.5,0,0,65.67,Southampton
0,3,male,21.8,0,0,5.35,Southampton
1,3,female,38.6,0,1,20.05,Queenstown
1,1,female,20.4,0,0,208.67,Southampton
0,3,female,6.5,0,0,14.0,Southampton
0,3,male,38.4,1,0,18.18,Cherbourg
1,1,female,44.7,0,0,176.98,Southampton
1,2,male,28.4,0,2,12.49,Southampton
0,3,male,1.5,0,0,16.94,Southampton
1,3,male,38.9,1,0,25.43,Queenstown
1,1,male,5.8,0,1,161.56,Southampton
0,3,male,33.3,0,0,25.21,Southampton
0,2,male,16.6,0,0,51.52,Queenstown
1,3,female,12.8,0,0,14.26,Queenstown
1,2,male,22.8,1,1,57.54,Southampton
1,3,male,26.4,0,0,20.07,Southampton
0,2,male,20.0,1,0,54.88,Southampton
0,2,male,37.2,0,1,18.38,Queenstown
1,3,male,22.8,0,1,23.74,Southampton
1,1,male,42.7,0,0,145.11,Southampton
1,1,male,32.9,0,0,232.39,Southampton
1,2,female,19.2,0,0,19.28,Southampton
1,3,female,16.9,0,0,12.01,Cherbourg
0,3,male,5.9,0,1,19.86,Cherbourg
1,3,male,33.1,0,0,23.78,Southampton
1,2,female,24.0,0,0,29.69,Southampton
1,2,female,0.5,0,1,33.89,Queenstown
1,1,male,21.5,0,0,163.85,Southampton
1,3,female,16.4,0,0,13.35,Southampton
1,3,female,51.1,0,0,9.23,Southampton
1,3,female,5.2,0,0,11.51,Southampton
0,3,male,8.8,0,1,27.8,Southampton
0,2,male,44.5,0,0,25.66,Southampton
1,3,male,48.0,0,0,29.37,Southampton
0,3,male,18.6,1,0,11.04,Southampton
0,1,male,20.2,0,2,100.9,Southampton
1,2,male,37.6,0,0,12.27,Queenstown
1,1,male,0.5,0,2,59.35,Southampton
1,1,male,2.9,1,1,144.27,Queenstown
1,1,female,25.1,0,0,87.81,Southampton
0,3,male,50.7,1,1,27.64,Cherbourg
1,3,male,22.9,0,0,19.09,Southampton
0,2,female,30.4,0,0,16.61,Cherbourg
1,2,female,44.9,0,0,24.78,Southampton
1,3,female,58.5,0,1,22.71,Southampton
0,3,female,20.9,1,1,17.35,Cherbourg
1,3,female,28.8,0,0,18.71,Southampton
0,2,male,54.5,2,2,52.76,Southampton
0,3,male,7.7,0,0,14.57,Southampton
1,1,male,43.4,1,1,131.32,Queenstown
1,2,male,14.7,2,1,13.83,Southampton
1,3,female,30.4,0,0,22.86,Southampton
0,3,male,25.6,0,0,22.88,Southampton
0,3,male,15.6,1,0,27.26,Southampton
0,3,male,15.2,0,1,19.88,Queenstown
0,3,male,32.9,2,0,29.18,Cherbourg
0,2,male,42.9,0,0,31.35,Southampton
1,2,male,27.2,0,0,19.42,Cherbourg
1,2,female,30.0,0,0,31.27,Queenstown
1,1,male,37.0,1,0,50.31,Southampton
0,3,female,15.4,2,0,12.21,Southampton
1,2,female,39.4,0,2,35.36,Queenstown
1,3,male,40.5,1,0,14.12,Southampton
0,3,male,65.5,2,2,27.73,Southampton
1,3,female,23.7,0,0,13.92,Southampton
0,2,male,22.6,0,2,56.09,Southampton
1,3,female,39.8,1,0,19.41,Southampton
0,3,male,40.5,0,0,14.9,Queenstown
0,3,female,21.5,0,0,7.4,Southampton
0,3,female,23.4,1,0,19.12,Queenstown
0,3,male,36.6,0,0,18.45,Queenstown
0,3,male,17.4,1,1,9.33,Southampton
1,1,female,23.3,1,0,44.98,Southampton
0,3,male,30.3,1,0,19.18,Southampton
0,1,male,42.9,0,0,236.88,Cherbourg
0,3,male,20.5,0,0,14.04,Cherbourg
0,3,male,3.2,0,0,11.22,Southampton
1,3,female,2.2,0,0,28.78,Southampton
1,2,female,11.4,0,0,16.0,Southampton
1,1,male,10.6,0,2,188.48,Cherbourg
1,3,female,26.8,0,0,25.52,Cherbourg
1,1,male,12.4,0,0,254.33,Southampton
0,1,male,19.2,0,0,137.47,Southampton
1,2,male,18.2,0,0,28.73,Cherbourg
1,1,female,22.8,0,0,205.73,Cherbourg
0,3,male,47.5,1,2,29.14,Queenstown
0,3,male,38.3,0,0,11.86,Cherbourg
0,2,male,29.2,1,0,41.58,Southampton
1,1,female,22.5,1,1,77.45,Cherbourg
0,1,male,22.9,0,0,141.02,Southampton
0,2,male,33.6,0,1,29.98,Southampton
1,1,female,37.2,0,0,44.34,Southampton
1,3,male,16.3,0,0,5.13,Southampton
0,1,male,29.5,0,2,244.57,Queenstown
0,2,male,0.6,0,1,18.7,Cherbourg
0,2,male,32.0,1,1,38.54,Southampton
0,2,male,39.7,2,0,21.49,Southampton
1,1,female,25.1,1,1,93.92,Cherbourg
1,1,male,54.4,0,0,251.79,Southampton
0,3,female,16.7,0,0,25.96,Southampton
1,1,female,32.0,3,0,129.04,Queenstown
0,3,male,28.5,0,0,14.78,Southampton
0,3,male,27.6,0,0,26.6,Southampton
1,2,female,27.4,0,0,29.65,Southampton
0,2,male,30.5,0,0,40.82,Southampton
1,3,female,40.9,0,1,27.54,Cherbourg
1,3,female,48.3,0,2,19.97,Cherbourg
1,2,male,29.0,0,0,24.54,Southampton
0,2,male,40.4,0,2,57.7,Southampton
0,2,male,19.2,0,0,31.76,Southampton
1,3,male,39.7,0,0,25.29,Cherbourg
0,3,male,18.3,0,1,6.35,Southampton
0,1,male,44.3,1,0,70.28,Southampton
1,2,female,59.9,0,0,53.43,Southampton
1,3,female,27.3,0,0,6.84,Southampton
0,1,female,0.5,1,0,91.9,Southampton
0,3,male,21.3,0,1,5.14,Southampton
0,3,male,46.2,1,0,22.95,Southampton
1,1,male,36.7,1,0,129.31,Cherbourg
1,1,male,32.5,0,0,129.11,Southampton
1,1,female,43.1,0,0,196.75,Southampton
0,3,male,35.8,0,0,5.68,Southampton
1,1,male,46.0,3,2,80.51,Southampton
1,1,female,41.9,1,1,63.69,Southampton
1,1,male,50.3,2,1,136.27,Cherbourg
1,1,male,34.0,1,0,164.26,Southampton
0,3,male,41.7,0,1,13.43,Southampton
0,2,male,24.7,1,0,46.81,Southampton
1,3,female,20.6,0,0,7.51,Southampton
0,3,male,52.9,1,0,18.05,Southampton
0,3,female,32.0,0,0,19.99,Cherbourg
1,1,female,40.3,0,2,183.67,Southampton
0,3,female,30.7,1,0,20.3,Southampton
0,3,male,20.8,1,2,27.49,Southampton
0,1,male,29.2,0,0,62.65,Southampton
0,3,female,49.1,0,0,10.72,Southampton
0,3,male,36.8,0,0,10.25,Southampton
0,2,male,5.0,2,0,16.6,Southampton
0,3,female,26.0,0,0,9.15,Queenstown
0,3,male,54.0,0,0,20.65,Cherbourg
0,3,female,26.0,0,2,7.57,Southampton
0,3,female,3.8,0,0,23.46,Cherbourg
1,2,female,55.5,0,0,27.67,Southampton
0,3,male,38.6,0,0,28.16,Southampton
1,2,female,28.0,1,0,47.19,Southampton
0,3,male,23.8,1,0,9.93,Cherbourg
0,3,female,44.2,2,0,7.13,Cherbourg
1,1,female,21.4,0,0,168.72,Southampton
1,2,female,45.1,0,0,25.59,Southampton
0,2,male,36.6,1,0,32.28,Queenstown
1,1,male,32.4,1,0,121.06,Queenstown
0,1,male,31.0,0,0,50.94,Queenstown
1,2,male,26.6,1,0,14.07,Southampton
1,1,male,43.6,1,0,231.37,Cherbourg
1,1,male,16.9,0,0,241.73,Southampton
0,3,male,6.3,1,2,10.53,Southampton
1,3,female,37.6,0,0,14.23,Southampton
1,3,female,37.8,0,0,15.73,Southampton
0,2,male,35.7,0,0,39.39,Queenstown
0,3,female,34.7,0,0,14.57,Southampton
1,3,female,24.5,1,0,26.42,Southampton
0,1,male,40.0,0,1,206.42,Southampton
1,1,male,28.4,0,2,167.01,Southampton
1,3,female,22.2,1,0,15.17,Southampton
1,1,female,24.6,1,0,79.11,Southampton
1,3,female,57.3,1,0,5.31,Southampton
0,3,female,4.7,0,0,11.83,Cherbourg
1,1,female,36.0,1,0,106.59,Southampton
0,1,male,5.5,0,1,256.96,Southampton
0,3,male,27.5,0,0,25.26,Southampton
0,3,male,22.9,0,0,22.99,Queenstown
0,1,female,0.5,0,0,64.7,Cherbourg
0,3,male,34.4,1,0,15.68,Southampton
1,3,male,23.7,0,0,22.7,Cherbourg
1,3,female,0.5,0,0,21.63,Queenstown
0,3,male,40.8,1,0,10.43,Southampton
1,2,female,49.1,1,1,37.34,Southampton
1,1,male,49.9,0,1,138.64,Cherbourg
0,3,female,34.0,2,0,24.92,Southampton
0,2,female,29.6,1,0,21.52,Southampton
1,3,male,47.6,3,0,10.69,Southampton
1,3,female,52.6,2,0,29.84,Cherbourg
1,1,male,44.9,1,0,258.11,Cherbourg
0,3,male,15.8,1,2,28.9,Southampton
1,1,female,31.8,0,0,97.7,Cherbourg
1,3,female,35.2,0,1,25.97,Southampton
1,2,male,3.7,0,0,18.53,Cherbourg
0,3,male,35.6,1,0,10.2,Southampton
1,3,female,60.8,0,0,20.81,Southampton
1,2,male,38.0,1,0,14.12,Southampton
1,3,male,49.6,0,0,23.64,Southampton
0,3,male,31.6,0,0,11.79,Southampton
0,3,male,28.0,0,1,9.53,Southampton
0,3,female,34.3,0,0,13.2,Southampton
1,3,male,17.6,0,0,17.0,Southampton
0,2,male,15.5,0,0,36.28,Southampton
1,3,female,46.7,1,0,25.92,Southampton
1,1,male,48.2,0,0,95.2,Southampton
0,3,female,15.1,0,0,21.9,Queenstown
0,3,male,42.6,0,0,11.59,Southampton
1,2,female,27.8,0,0,44.51,Southampton
1,1,female,33.8,0,0,127.13,Southampton
0,3,female,35.4,1,0,10.87,Southampton
0,2,male,42.9,1,0,13.51,Southampton
0,3,male,30.2,0,0,13.49,Southampton
1,1,female,48.7,0,0,112.19,Cherbourg
0,3,male,33.3,0,0,19.3,Southampton
1,1,male,37.7,0,0,179.52,Cherbourg
1,1,male,17.3,1,2,230.04,Southampton
1,3,female,59.2,0,1,6.12,Cherbourg
0,3,female,35.6,1,0,21.04,Southampton
1,1,male,39.0,0,0,72.21,Queenstown
0,3,female,6.5,0,0,13.44,Southampton
0,3,male,17.5,0,1,8.68,Southampton
0,3,male,46.3,0,0,28.95,Southampton
1,2,male,33.0,3,0,33.34,Queenstown
0,3,male,2.2,0,0,21.98,Cherbourg
1,3,male,43.5,1,0,18.28,Southampton
1,3,female,21.4,1,0,25.16,Southampton
1,3,female,48.8,0,1,27.41,Southampton
0,3,male,27.8,0,2,14.57,Southampton
1,1,male,31.9,0,0,210.63,Southampton
1,3,male,45.5,0,0,10.75,Southampton
0,3,female,16.4,1,0,21.3,Southampton
0,3,female,15.1,0,0,14.98,Southampton
1,1,female,26.2,2,0,100.97,Southampton
0,1,male,40.6,0,0,114.73,Southampton
0,3,male,10.4,0,1,26.71,Cherbourg
0,1,male,5.6,1,2,231.12,Queenstown
0,3,male,40.5,0,0,29.94,Southampton
0,2,male,20.6,1,0,15.6,Southampton
0,3,male,23.5,0,0,16.47,Southampton
1,3,female,3.0,2,0,26.28,Southampton
0,2,male,19.5,1,0,52.23,Queenstown
0,2,male,28.9,1,0,39.16,Queenstown
1,3,female,42.0,0,0,21.64,Southampton
0,3,male,18.2,1,1,8.26,Southampton
1,2,female,52.2,0,0,13.79,Queenstown
0,3,male,19.4,1,0,12.74,Southampton
1,3,female,19.4,0,0,21.92,Southampton
0,3,male,50.5,0,2,8.4,Southampton
0,1,male,32.0,0,0,244.23,Southampton
1,2,female,21.3,0,0,58.25,Southampton
0,2,male,26.8,0,0,41.58,Southampton
1,1,male,47.9,1,0,120.02,Southampton
1,1,male,49.5,0,2,220.2,Southampton
0,3,male,17.6,1,0,24.14,Southampton
1,2,female,28.4,0,2,32.61,Cherbourg
